128     3200000	    0.000000208     1   0.2
192     2133333	    0.000000313     1   0.2
256	    1600000	    0.000000417     1   0.2
320	    1280000	    0.000000521     1   0.2
384	    1066667	    0.000000625     1   0.2
448	    914286	    0.000000729     1   0.2
512	    800000	    0.000000834     1   0.2
576	    711111	    0.000000938     1   0.2
640	    640000	    0.000001042     1   0.2
704	    581818	    0.000001146     1   0.2
768	    533333	    0.000001250     1   0.2
832	    492308	    0.000001354     1   0.2
896	    457143	    0.000001459     1   0.2
960	    426667	    0.000001563     1   0.2
1024	400000	    0.000001667     1   0.2
1088	376471	    0.000001771     1   0.2
1152	355556	    0.000001875     1   0.2
1216	336842	    0.000001980     1   0.2
1280	320000	    0.000002084     1   0.2
1344	304762	    0.000002188     1   0.2
1408	290909	    0.000002292     1   0.2
1472	278261	    0.000002396     1   0.2
1536	266667	    0.000002501     1   0.2
1600	256000	    0.000002605     1   0.2
1664	246154	    0.000002709     1   0.2
1728	237037	    0.000002813     1   0.2
1792	228571	    0.000002917     1   0.2
1856	220690	    0.000003021     1   0.2
1920	213333	    0.000003126     1   0.2
1984	206452	    0.000003230     1   0.2
2048	200000	    0.000003334     1   0.2
2112	193939	    0.000003438     1   0.2
2176	188235	    0.000003542     1   0.2
2240	182857	    0.000003647     1   0.2
2304	177778	    0.000003751     1   0.2
2368	172973	    0.000003855     1   0.2
2432	168421	    0.000003959     1   0.2
2496	164103	    0.000004063     1   0.2
2560	160000	    0.000004168     1   0.2
2624	156098	    0.000004272     1   0.2
2688	152381	    0.000004376     1   0.2
2752	148837	    0.000004480     1   0.2
2816	145455	    0.000004584     1   0.2
2880	142222	    0.000004688     1   0.2
2944	139130	    0.000004793     1   0.2
3008	136170	    0.000004897     1   0.2
